Subject,Start Date,Start Time,End Time,Description,Location
Computer Systems Architecture Lab A,10/26/2022,02:00 PM,04:00 PM,LABORATORY | NICOLA GIGANTE,BZ RAINERUM SALA AZZURRA
English for Computer Scientists 1 - Group B,10/26/2022,04:00 PM,06:00 PM,LECTURE | PETER JAMES BRANNICK,BZ RAINERUM SALA AZZURRA
Linear Algebra,10/27/2022,08:00 AM,10:00 AM,LECTURE | BRUNO CARPENTIERI,BZ E4.22
Introduction to Programming/Computer Programming,10/27/2022,10:00 AM,12:00 AM,LECTURE | FRANCESCO RICCI,BZ C2.01
Intro to Programming/Computer Programming LAB A,10/27/2022,02:00 PM,03:00 PM,LABORATORY | DAVID MASSIMO,BZ RAINERUM SALA AZZURRA
Intro to Programming/Computer Programming LAB B,10/27/2022,02:00 PM,03:00 PM,LABORATORY | MARINA ANDRIC,BZ D0.03
Linear Algebra,10/28/2022,08:00 AM,10:00 AM,LECTURE | BRUNO CARPENTIERI,BZ RAINERUM SALA AZZURRA
Introduction to Programming/Computer Programming,10/28/2022,10:00 AM,12:00 AM,LECTURE | FRANCESCO RICCI,BZ C2.01
Linear Algebra - Lab A,10/28/2022,02:00 PM,04:00 PM,LABORATORY | BRUNO CARPENTIERI,BZ E2.22
Discrete Mathematics,10/31/2022,02:00 PM,04:00 PM,LECTURE | OLIVER KUTZ,BZ C3.06
Discrete Mathematics Lab A,10/31/2022,04:00 PM,06:00 PM,LABORATORY | OLIVER KUTZ,BZ C3.06
Computer Systems Architecture,11/02/2022,08:00 AM,10:00 AM,LECTURE | NICOLA GIGANTE,BZ C3.06
Discrete Mathematics,11/02/2022,10:00 AM,12:00 AM,LECTURE | OLIVER KUTZ,BZ C3.06
Computer Systems Architecture Lab A,11/02/2022,02:00 PM,04:00 PM,LABORATORY | NICOLA GIGANTE,BZ RAINERUM SALA AZZURRA
English for Computer Scientists 1 - Group A,11/02/2022,04:00 PM,06:00 PM,LECTURE | JEMMA F. PRIOR,BZ RAINERUM SALA AZZURRA
Linear Algebra,11/03/2022,08:00 AM,10:00 AM,LECTURE | BRUNO CARPENTIERI,BZ C3.06
Introduction to Programming/Computer Programming,11/03/2022,10:00 AM,12:00 AM,LECTURE | FRANCESCO RICCI,BZ C2.01
Intro to Programming/Computer Programming LAB A,11/03/2022,02:00 PM,04:00 PM,LABORATORY | DAVID MASSIMO,BZ RAINERUM SALA AZZURRA
Intro to Programming/Computer Programming LAB B,11/03/2022,02:00 PM,04:00 PM,LABORATORY | MARINA ANDRIC,BZ D0.03
Linear Algebra,11/04/2022,08:00 AM,10:00 AM,LECTURE | BRUNO CARPENTIERI,BZ C3.06
Introduction to Programming/Computer Programming,11/04/2022,10:00 AM,12:00 AM,LECTURE | FRANCESCO RICCI,BZ C2.01
Linear Algebra - Lab A,11/04/2022,02:00 PM,04:00 PM,LABORATORY | BRUNO CARPENTIERI,BZ E2.22
Discrete Mathematics,11/07/2022,02:00 PM,04:00 PM,LECTURE | OLIVER KUTZ,BZ C3.06
Discrete Mathematics Lab A,11/07/2022,04:00 PM,06:00 PM,LABORATORY | OLIVER KUTZ,BZ C3.06
Computer Systems Architecture,11/08/2022,08:00 AM,10:00 AM,LECTURE | NICOLA GIGANTE,BZ C3.06
Introduction to Programming/Computer Programming,11/08/2022,10:00 AM,12:00 AM,LECTURE | FRANCESCO RICCI,BZ C3.06
Intro to Programming/Computer Programming LAB A,11/08/2022,02:00 PM,03:00 PM,LABORATORY | DAVID MASSIMO,BZ C2.02
Intro to Programming/Computer Programming LAB B,11/08/2022,02:00 PM,03:00 PM,LABORATORY | MARINA ANDRIC,BZ C3.06
English for Computer Scientists 1 - Group A,11/08/2022,04:00 PM,06:00 PM,LECTURE | JEMMA F. PRIOR,BZ C3.06
English for Computer Scientists 1 - Group B,11/08/2022,04:00 PM,06:00 PM,LECTURE | PETER JAMES BRANNICK,BZ C2.02
Computer Systems Architecture,11/09/2022,08:00 AM,10:00 AM,LECTURE | NICOLA GIGANTE,BZ C3.06
Discrete Mathematics,11/09/2022,10:00 AM,12:00 AM,LECTURE | OLIVER KUTZ,BZ C3.06
Computer Systems Architecture Lab A,11/09/2022,02:00 PM,04:00 PM,LABORATORY | NICOLA GIGANTE,BZ RAINERUM SALA AZZURRA
Linear Algebra,11/10/2022,08:00 AM,10:00 AM,LECTURE | BRUNO CARPENTIERI,BZ RAINERUM SALA AZZURRA
Introduction to Programming/Computer Programming,11/10/2022,10:00 AM,12:00 AM,LECTURE | FRANCESCO RICCI,BZ C2.01
Intro to Programming/Computer Programming LAB A,11/10/2022,02:00 PM,04:00 PM,LABORATORY | DAVID MASSIMO,BZ RAINERUM SALA AZZURRA
Intro to Programming/Computer Programming LAB B,11/10/2022,02:00 PM,04:00 PM,LABORATORY | MARINA ANDRIC,BZ D0.03
Linear Algebra,11/11/2022,08:00 AM,10:00 AM,LECTURE | BRUNO CARPENTIERI,BZ RAINERUM SALA AZZURRA
Introduction to Programming/Computer Programming,11/11/2022,10:00 AM,12:00 AM,LECTURE | FRANCESCO RICCI,BZ C2.01
Linear Algebra - Lab A,11/11/2022,02:00 PM,04:00 PM,LABORATORY | BRUNO CARPENTIERI,BZ E2.22
Discrete Mathematics,11/14/2022,02:00 PM,04:00 PM,LECTURE | OLIVER KUTZ,BZ C3.06
Discrete Mathematics Lab A,11/14/2022,04:00 PM,06:00 PM,LABORATORY | OLIVER KUTZ,BZ C3.06
Computer Systems Architecture,11/15/2022,08:00 AM,10:00 AM,LECTURE | NICOLA GIGANTE,BZ C3.06
Introduction to Programming/Computer Programming,11/15/2022,10:00 AM,12:00 AM,LECTURE | FRANCESCO RICCI,BZ C3.06
Intro to Programming/Computer Programming LAB A,11/15/2022,02:00 PM,03:00 PM,LABORATORY | DAVID MASSIMO,BZ C2.02
Intro to Programming/Computer Programming LAB B,11/15/2022,02:00 PM,03:00 PM,LABORATORY | MARINA ANDRIC,BZ C3.06
English for Computer Scientists 1 - Group A,11/15/2022,04:00 PM,06:00 PM,LECTURE | JEMMA F. PRIOR,BZ C3.06
English for Computer Scientists 1 - Group B,11/15/2022,04:00 PM,06:00 PM,LECTURE | PETER JAMES BRANNICK,BZ C2.02
Computer Systems Architecture,11/16/2022,08:00 AM,10:00 AM,LECTURE | NICOLA GIGANTE,BZ C3.06
Discrete Mathematics,11/16/2022,10:00 AM,12:00 AM,LECTURE | OLIVER KUTZ,BZ C3.06
Computer Systems Architecture Lab A,11/16/2022,02:00 PM,04:00 PM,LABORATORY | NICOLA GIGANTE,BZ RAINERUM SALA AZZURRA
Linear Algebra,11/17/2022,08:00 AM,10:00 AM,LECTURE | BRUNO CARPENTIERI,BZ C3.06
